twitId,twitContent,userName
1597690245499457537,"RT @gambabit: If USA beats Iran I will giveaway $50 to one random person that RETWEETS this tweet and FOLLOWS US!

LETS GO USA!
#WorldCup #",steve_steffes
1597690244580900864,RT @GeoffBakerTIMES: I could hear Iranian player screaming like leg had been amputated from the next room. Thought hed fractured it but se,BikerMike
1597690243108380674,RT @gza_ch3lo: First game with @AOFresno #AOFresno #AmericanOwtlaws #USAvIRN #WorldCup https://t.co/cSb2sovJFp,AOFresno
1597690238578851840," on the Roof  
#GOAT #HomeDecor #roommate #AnimeNYC2022 #QatarWorldCup2022 #FIFAWorldCupQatar2022 #FIFA #WorldCup https://t.co/UHHq5sGeHk",BN0Moo
1597690237991686144,"RT @Shahabesque: This is Kian Pirfalak wearing a @BlackYellow shirt, explaining how he made a robot with some stationery materials! He was",FairenouGHP
1597690234858532864,RT @SiorNikolaS:         m@kie #Qatar2022 #MundialQatar2022 #FIFAWorldCupQatar2022 #WorldCu,TPampoukidis
1597690233260081152,Marcus Rashford has now tripled the number of World Cup goals that Wayne Rooney has!!!! #WALENG #WorldCup #WorldCup2022,niamh_journo
1597690232706863104,Rashy having a great #WorldCup rn!!! ,Chachki_san
1597690231985438721,"RT @ManUtd: All three of our English Reds start this evening! 

#MUFC || #WorldCup",4pfNero
1597690230118969346,#WorldCup #USMNT https://t.co/rgvmlE6S1B,JoeVFox12
